happy,calm,fear,disgust,surprise,angry,sad,neutral
https://youtu.be/R3J3IDgKOLM,https://youtu.be/oWKgpB2zpgw,https://youtu.be/bmyv0nRkDmc,https://youtu.be/3N3n23loy24,"https://youtu.be/mDB7eUELUfE
",https://youtu.be/xitd9mEZIHk,https://youtu.be/nk5FtEVLrxs,https://youtu.be/5idNBcKDtvA
https://youtu.be/udra3Mfw2oo,https://youtu.be/-RAsJ6dAF68,https://youtu.be/sQTnREEtuNk,https://youtu.be/xRb8hxwN5zc,https://youtu.be/kTXilT_KbUM,https://youtu.be/LXprbHMcfNo,https://youtu.be/Nly8TUAGyYI,https://youtu.be/6AICqitg368
https://youtu.be/bw7bVpI5VcM,https://youtu.be/Zcb0oGYwp4E,https://youtu.be/T94PHkuydcw,https://youtu.be/PJWemSzExXs,https://youtu.be/8xP9GY8LKj8,https://youtu.be/mQvteoFiMlg,https://youtu.be/LeZE52gkRIw,https://youtu.be/6zoD2FNvCIo
"https://youtu.be/PhkADyPektU
",https://youtu.be/6MgsHSAcI9k,https://youtu.be/bnqLzCsffwY,https://youtu.be/EwIljm4gFoE,"https://youtu.be/C04azkb2WN4
",https://youtu.be/2Vv-BfVoq4g,https://youtu.be/bmyv0nRkDmc,https://youtu.be/AVM4J0qvdKw
https://youtu.be/zpsVpnvFfZQ,https://youtu.be/4YbAaRFk70o,https://youtu.be/dx4Teh-nv3A,https://youtu.be/z1ihvaEmRMg,"https://youtu.be/ZrX1XKtShSI
",https://youtu.be/d_HlPboLRL8,https://youtu.be/m0wYJnCq-4M,https://youtu.be/_wFwH7rc6BA
https://youtu.be/6k8Aja80GQM,https://youtu.be/vKDsAB1ccn0,https://youtu.be/LQmHKl3oNu0,https://youtu.be/GibRJVMtzPg,"https://youtu.be/bsqnrXucq34
",https://youtu.be/aatr_2MstrI,https://youtu.be/8DMF0U6xV78,https://youtu.be/dqCjF5J023o
https://youtu.be/QYO6AlxiRE4,https://youtu.be/JbDktrsnH40,https://youtu.be/dx4Teh-nv3A,https://youtu.be/xtUaxscA6ZA,"https://youtu.be/eT6NzOZR53Q
",https://youtu.be/SxTYjptEzZs,https://youtu.be/jMfvlh0tjyo,https://youtu.be/cYFJX93UGNs
https://youtu.be/fdubeMFwuGs,https://youtu.be/fSS_R91Nimw,https://youtu.be/9iIX4PBplAY,https://youtu.be/Nly8TUAGyYI,"https://youtu.be/0jSpCxmb2VQ
",https://youtu.be/bIB8EWqCPrQ,https://youtu.be/9iIX4PBplAY,https://youtu.be/TUHnTzJRBeA
https://youtu.be/Ld34m0GeAUc,https://youtu.be/zpf8hrbT2d0,https://youtu.be/bw7bVpI5VcM,https://youtu.be/RVRlV53TjzY,"https://youtu.be/2Q2DZ8k8bv0
",https://youtu.be/m7Bc3pLyij0,https://youtu.be/qJxLWj72aVQ,https://youtu.be/90qE26nETds
https://youtu.be/eVnG_Rqfgg4,https://youtu.be/aVPwXQgY2QI,https://youtu.be/ru_5PA8cwkE,https://youtu.be/RN-j2Q4Wfg0,"https://youtu.be/EEnB3vDN9AI
",https://youtu.be/UtF6Jej8yb4,https://youtu.be/puKD3nkB1h4,https://youtu.be/b8qPBdeQ1mY
https://youtu.be/qoa4oTDRhsY,https://youtu.be/gkCKTuR-ECI,https://youtu.be/-SkMRX-iwx8,https://youtu.be/qj_7J8RNozI,"https://youtu.be/6BYIKEH0RCQ
",https://youtu.be/YykjpeuMNEk,https://youtu.be/UBBHpoW3AKA,https://youtu.be/1C5GSWOJi7I
https://youtu.be/WE7fP5YJORQ,https://youtu.be/kl8T6tsOZJk,https://youtu.be/jFGKJBPFdUA,https://youtu.be/ZifgKwiqKV0,"https://youtu.be/SMYlmmHQ2IQ
",https://youtu.be/mk48xRzuNvA,https://youtu.be/bw7bVpI5VcM,https://youtu.be/Wky5IL0Je4I
https://youtu.be/WHldWh1meW8,https://youtu.be/4rdby1KcCek,https://youtu.be/8DMF0U6xV78,https://youtu.be/wGwHQYtvNRw,"https://youtu.be/BmUe3-sfr7E
",https://youtu.be/aN5s9N_pTUs,https://youtu.be/bnqLzCsffwY,https://youtu.be/Rtq58BX6uLc
https://youtu.be/I8jUVqFgmO4,https://youtu.be/uxTXp0-iZrY,https://youtu.be/g62J-8nV5FI,https://youtu.be/R3J3IDgKOLM,"https://youtu.be/8SgbcLtZaVY
",https://youtu.be/B_K6z3HiRAs,https://youtu.be/tKmDt5H5Z9w,https://youtu.be/jTuMsX43Ubs
https://youtu.be/bC9qyu0_hcA,https://youtu.be/6Z-CpOkkUFo,https://youtu.be/xrEzr-rWwe8,https://youtu.be/oZ7PnR_ZKRE,"https://youtu.be/R3Ed4zvQ0Hs
",https://youtu.be/Il7Nv270zNk,https://youtu.be/xwwAVRyNmgQ,https://youtu.be/0gosur3db5I
